0, 0.2 0.2 0.2 0.;
1, 0.059189 0.522054 0.877951 1.;
2, 0.111151 0.207074 0.413622 1.;
3, 0.923943 0.127316 0.06936 1.;
4, 0.654654 0.717234 0.725114 1.;
5, 0.842564 0.663982 0.473497 1.;
6, 0.669631 0.355885 0.009857 1.;
7, 0.967733 0.837464 0.103071 1.;
8, 0.500919 0.221098 0.241207 1.;
9, 0.196971 0.068611 0.046898 1.;
10, 0.29063 0.504111 0.409651 1.;
11, 0.601168 0.793002 0.780777 1.;
12, 0.613762 0.220175 0.070863 1.;
13, 0.158592 0.255612 0.201957 1.;
14, 0.701429 0.42197 0.3722 1.;
15, 0.330396 0.207075 0.309136 1.;
